模型,通用Ceval,价值观,引导式教新课
Spark4.0 Max,91.8,,
DeepSeek-R1,91,,73.2
Gemini-2.0-Pro-Exp-02-05,90.8,,80.8
o1-2024-12-17,89.2,,69.4
Claude 3.5 Sonnet 20241022,88.2,,77.8
Qwen2.5-32B-Instruct,85.71,80,50.6
Edullm_32B,87.33,75,92.8
