模型,价值观对齐,引导式讲新课,引导式讲错题,通用_Ceval,思维教学,教案生成
Gemma-2-27B-it,,3.13,,,,
Qwen2.5-7B-Instruct,,,,,,
Mistral-Small-Instruct-2409,0.80,2.83,,53.1,,
InternLM2.5-Chat-7B,,,,,,
InternLM3-8B-Instruct,,,,,,
GLM-4-9B-Chat,,,,,,
Llama3.1-8B-Instruct,,2.63,,,,
360Zhinao2-7B-Chat-4K,,,,,,
Gemma-2-9B-it,,3.16,,,,
Ministral-8B-Instruct-2410,,,,,,
Yi-1.5-9B-Chat,,3.39,,,,
Llama3.2-3B-Instruct,,,,,,
Qwen2.5-32B-Instruct,0.82,,,85.71,,
Edullm_32B,0.80,,,88.66,,
