模型,召回准确率,价值观偏差值,亲和性,正向行为引导能力,易理解性,总分
Gemma-2-27B-it,,,,,,
Qwen2.5-7B-Instruct,,,,,,
Mistral-Small-Instruct-2409,0.75,0.88,0.74,0.94,0.69,0.80
InternLM2.5-Chat-7B,,,,,,
InternLM3-8B-Instruct,,,,,,
GLM-4-9B-Chat,,,,,,
Llama3.1-8B-Instruct,,,,,,
360Zhinao2-7B-Chat-4K,,,,,,
Gemma-2-9B-it,,,,,,
Ministral-8B-Instruct-2410,,,,,,
Yi-1.5-9B-Chat,,,,,,
Llama3.2-3B-Instruct,,,,,,
Qwen2.5-32B-Instruct,0.76,0.85,0.75,1.00,0.73,0.82 	 	 	 	 	 
Edullm_32B,0.77,0.86,0.74,1.00,0.66,0.80
